FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incident_Rate,Case_Fatality_Ratio
,,,Afghanistan,2023-01-03 4:21,33.93911,67.709953,207627,7849,199778,,Afghanistan,533.3569185,3.780336854
,,,Albania,2023-01-03 4:21,41.1533,20.1683,333812,3595,330217,,Albania,11599.55522,1.076953495
,,,Algeria,2023-01-03 4:21,28.0339,1.6596,271229,6881,264348,,Algeria,618.5234864,2.536970604
,,,Andorra,2023-01-03 4:21,42.5063,1.5218,47751,165,47586,,Andorra,61801.59192,0.345542502
,,,Angola,2023-01-03 4:21,-11.2027,17.8739,105095,1930,103165,,Angola,319.765542,1.836433703
,,,Antarctica,2023-01-03 4:21,-71.9499,23.347,11,11,0,,Antarctica,,0
,,,Antigua and Barbuda,2023-01-03 4:21,17.0608,-61.7964,9106,146,8960,,Antigua and Barbuda,9298.668409,1.603338458
,,,Argentina,2023-01-03 4:21,-38.4161,-63.6167,9963697,130171,9833526,,Argentina,22045.63714,1.306452816
,,,Armenia,2023-01-03 4:21,40.0691,45.0382,445976,8716,437260,,Armenia,15050.31327,1.954365257
,,Australian Capital Territory,Australia,2023-01-03 4:21,-35.4735,149.0124,224902,138,224764,,"Australian Capital Territory, Australia",52534.92175,0.061360059
,,New South Wales,Australia,2023-01-03 4:21,-33.8688,151.2093,3825104,5804,3819300,,"New South Wales, Australia",47118.79773,0.151734437
,,Northern Territory,Australia,2023-01-03 4:21,-12.4634,130.8456,103002,84,102918,,"Northern Territory, Australia",41938.92508,0.081551815
,,Queensland,Australia,2023-01-03 4:21,-27.4698,153.0251,1743616,2405,1741211,,"Queensland, Australia",34084.95748,0.137931746
,,South Australia,Australia,2023-01-03 4:21,-34.9285,138.6007,862043,1155,860888,,"South Australia, Australia",49077.31284,0.133984036
,,Tasmania,Australia,2023-01-03 4:21,-42.8821,147.3272,280254,224,280030,,"Tasmania, Australia",52335.01401,0.079927494
,,Victoria,Australia,2023-01-03 4:21,-37.8136,144.9631,2838417,6405,2832012,,"Victoria, Australia",42812.36519,0.225653947
,,Western Australia,Australia,2023-01-03 4:21,-31.9505,115.8605,1255595,837,1254758,,"Western Australia, Australia",47730.3657,0.066661623
,,,Austria,2023-01-03 4:21,47.5162,14.5501,5709405,21444,5687961,,Austria,63392.75404,0.375590801
,,,Azerbaijan,2023-01-03 4:21,40.1431,47.5769,826446,10008,816438,,Azerbaijan,8151.018204,1.210968412
,,,Bahamas,2023-01-03 4:21,25.025885,-78.035889,37491,833,36658,,Bahamas,9533.678493,2.221866581
,,,Bahrain,2023-01-03 4:21,26.0275,50.55,698849,1539,697310,,Bahrain,41070.5208,0.220219246
,,,Bangladesh,2023-01-03 4:21,23.685,90.3563,2037156,29440,2007716,,Bangladesh,1236.968627,1.445151967
,,,Barbados,2023-01-03 4:21,13.1939,-59.5432,105515,568,104947,,Barbados,36717.34448,0.538312088
,,,Belarus,2023-01-03 4:21,53.7098,27.9534,994037,7118,986919,,Belarus,10519.66591,0.716069925
,,Antwerp,Belgium,2023-01-03 4:21,51.2195,4.4024,752180,0,752180,,"Antwerp, Belgium",40483.62044,0
,,Brussels,Belgium,2023-01-03 4:21,50.8503,4.3517,501823,0,501823,,"Brussels, Belgium",41523.00872,0
,,East Flanders,Belgium,2023-01-03 4:21,51.0362,3.7373,631890,0,631890,,"East Flanders, Belgium",41707.149,0
,,Flemish Brabant,Belgium,2023-01-03 4:21,50.9167,4.5833,456805,0,456805,,"Flemish Brabant, Belgium",39854.73422,0
,,Hainaut,Belgium,2023-01-03 4:21,50.5257,4.0621,513756,0,513756,,"Hainaut, Belgium",38219.03959,0
,,Liege,Belgium,2023-01-03 4:21,50.4496,5.8492,415567,0,415567,,"Liege, Belgium",37540.19903,0
,,Limburg,Belgium,2023-01-03 4:21,50.9739,5.342,345232,0,345232,,"Limburg, Belgium",39498.0596,0
,,Luxembourg,Belgium,2023-01-03 4:21,50.0547,5.4677,121936,0,121936,,"Luxembourg, Belgium",42838.97442,0
,,Namur,Belgium,2023-01-03 4:21,50.331,4.8221,201053,0,201053,,"Namur, Belgium",40672.22981,0
